SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
47-2111,Electricians,5,290,360,2.1,10,10,10,17.30,26.10,High school diploma or equivalent,None,Apprenticeship
47-2141,"Painters, Construction and Maintenance",3,60,80,4.5,0,0,0,13.60,15.70,Less than high school,None,Moderate-term on-the-job training
47-2152,"Plumbers, Pipefitters, and Steamfitters",4,120,160,3,0,0,10,16.40,17.90,High school diploma or equivalent,None,Apprenticeship
47-2211,Sheet Metal Workers,,40,60,5.4,0,0,0,,,High school diploma or equivalent,None,Apprenticeship
47-3000,"Helpers, Construction Trades",,80,120,5.7,0,0,10,,,,,
47-3013,Helpers--Electricians,3,50,80,4.5,0,0,0,8.00,11.90,High school diploma or equivalent,None,Short-term on-the-job training
47-4000,Other Construction and Related Workers,,300,330,1.3,0,10,10,,,,,
47-4011,Construction and Building Inspectors,4,60,80,2.9,0,0,0,19.00,26.30,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
47-4051,Highway Maintenance Workers,3,150,170,1.1,0,0,0,14.40,17.80,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5000,Extraction Workers,,3220,4040,2.5,90,100,190,,,,,
47-5011,"Derrick Operators, Oil and Gas",5,180,230,3.1,10,10,10,18.90,22.50,Less than high school,None,Short-term on-the-job training
47-5012,"Rotary Drill Operators, Oil and Gas",5,220,290,3.1,10,10,20,19.10,26.30,Less than high school,None,Moderate-term on-the-job training
47-5013,"Service Unit Operators, Oil, Gas, and Mining",5,870,1170,3.4,30,40,70,17.60,24.40,Less than high school,None,Moderate-term on-the-job training
47-5041,Continuous Mining Machine Operators,2,210,170,-2,0,0,0,21.90,25.20,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5042,Mine Cutting and Channeling Machine Operators,3,150,160,0.6,0,0,0,22.90,26.30,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5061,"Roof Bolters, Mining",2,70,70,-1.1,0,0,0,25.50,26.20,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5071,"Roustabouts, Oil and Gas",4,1410,1850,3.1,40,40,80,11.30,16.60,Less than high school,None,Moderate-term on-the-job training
47-5081,Helpers--Extraction Workers,2,60,50,-1.1,0,0,0,20.60,22.40,High school diploma or equivalent,None,Moderate-term on-the-job training
49-0000,"Installation, Maintenance, and Repair Occupations",,3820,4550,1.9,70,100,170,13.60,22.10,,,
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",,390,440,1.4,10,10,20,,,,,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",5,390,440,1.4,10,10,20,20.60,34.50,High school diploma or equivalent,Less than 5 years,None
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",,340,360,0.6,0,10,10,,,,,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,120,140,1.1,0,0,0,19.40,26.60,Postsecondary non-degree award,None,Moderate-term on-the-job training
49-2092,"Electric Motor, Power Tool, and Related Repairers",0,70,70,0.6,0,0,0,,,Postsecondary non-degree award,None,Long-term on-the-job training
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2,110,100,-0.5,0,0,0,,,Postsecondary non-degree award,None,Long-term on-the-job training
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",,1260,1500,1.9,20,30,60,,,,,
49-3021,Automotive Body and Related Repairers,3,90,110,2.1,0,0,0,14.00,20.80,High school diploma or equivalent,None,Moderate-term on-the-job training
49-3023,Automotive Service Technicians and Mechanics,3,390,470,2.1,10,10,20,11.40,16.60,High school diploma or equivalent,None,Long-term on-the-job training
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,5,300,360,1.9,10,10,10,16.50,22.00,High school diploma or equivalent,None,Long-term on-the-job training
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",5,280,310,1.1,0,10,10,19.40,25.40,High school diploma or equivalent,None,Long-term on-the-job training
49-3091,Bicycle Repairers,,40,60,5.6,0,0,0,10.30,12.00,High school diploma or equivalent,None,Moderate-term on-the-job training
49-3093,Tire Repairers and Changers,3,90,100,1.5,0,0,0,,,High school diploma or equivalent,None,Short-term on-the-job training
49-9000,"Other Installation, Maintenance, and Repair Occupations",,1830,2240,2.3,40,50,90,,,,,
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",,40,60,3.5,0,0,0,,,Postsecondary non-degree award,None,Long-term on-the-job training
49-9041,Industrial Machinery Mechanics,5,550,740,3.4,20,20,40,19.20,25.10,High school diploma or equivalent,None,Long-term on-the-job training
49-9043,"Maintenance Workers, Machinery",2,60,70,1,0,0,0,21.10,27.30,High school diploma or equivalent,None,Moderate-term on-the-job training
49-9051,Electrical Power-Line Installers and Repairers,5,230,250,1,0,10,10,21.90,31.30,High school diploma or equivalent,None,Long-term on-the-job training
49-9052,Telecommunications Line Installers and Repairers,4,110,140,2.8,0,0,10,,,High school diploma or equivalent,None,Long-term on-the-job training
49-9071,"Maintenance and Repair Workers, General",3,590,690,1.5,10,10,20,10.40,16.00,High school diploma or equivalent,None,Long-term on-the-job training
49-9096,Riggers,4,50,70,4.4,0,0,0,,,High school diploma or equivalent,None,Short-term on-the-job training
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",3,120,150,2,0,0,10,10.30,16.10,High school diploma or equivalent,None,Moderate-term on-the-job training
51-0000,Production Occupations,,2530,2860,1.3,40,60,100,11.40,19.40,,,
51-1011,First-Line Supervisors of Production and Operating Workers,4,240,260,1,0,0,10,20.30,33.60,Postsecondary non-degree award,Less than 5 years,None
51-2000,Assemblers and Fabricators,,40,60,2.5,0,0,0,,,,,
51-3000,Food Processing Workers,,340,370,1,0,10,10,,,,,
51-3011,Bakers,1,140,160,1.4,0,0,10,8.70,10.70,Less than high school,None,Long-term on-the-job training
51-3021,Butchers and Meat Cutters,3,110,120,1.1,0,0,0,10.40,15.70,Less than high school,None,Long-term on-the-job training
51-3092,Food Batchmakers,0,50,50,-0.4,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
51-4000,Metal Workers and Plastic Workers,,450,540,1.9,10,10,20,,,,,
51-4041,Machinists,4,110,130,2.1,0,0,0,15.30,22.70,High school diploma or equivalent,None,Long-term on-the-job training
51-4121,"Welders, Cutters, Solderers, and Brazers",4,300,350,1.5,0,10,10,14.70,21.20,High school diploma or equivalent,None,Moderate-term on-the-job training
51-5100,Printing Workers,,70,70,-0.1,0,0,0,,,,,
51-5112,Printing Press Operators,,40,40,-0.3,0,0,0,13.20,14.40,High school diploma or equivalent,None,Moderate-term on-the-job training
51-6000,"Textile, Apparel, and Furnishings Workers",,180,210,1.6,0,0,10,,,,,
51-6011,Laundry and Dry-Cleaning Workers,1,100,130,2.2,0,0,10,8.10,10.50,Less than high school,None,Short-term on-the-job training
51-7000,Woodworkers,,110,130,1.9,0,0,0,,,,,
51-7011,Cabinetmakers and Bench Carpenters,3,90,110,2.2,0,0,0,13.30,16.20,High school diploma or equivalent,None,Moderate-term on-the-job training
51-8000,Plant and System Operators,,670,760,1.3,10,20,40,,,,,
51-8013,Power Plant Operators,2,90,70,-1.7,0,0,0,,,High school diploma or equivalent,None,Long-term on-the-job training
51-8031,Water and Wastewater Treatment Plant and System Operators,4,250,290,1.3,0,10,10,12.40,19.90,High school diploma or equivalent,None,Long-term on-the-job training
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",5,240,310,2.9,10,10,20,23.60,31.00,High school diploma or equivalent,None,Long-term on-the-job training
51-9000,Other Production Occupations,,420,470,1.1,10,10,20,,,,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",3,110,130,1.4,0,0,0,19.30,25.70,High school diploma or equivalent,None,Moderate-term on-the-job training
51-9111,Packaging and Filling Machine Operators and Tenders,,40,50,1.9,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
51-9198,Helpers--Production Workers,0,50,50,0.6,0,0,0,10.90,14.70,Less than high school,None,Short-term on-the-job training
53-0000,Transportation and Material Moving Occupations,,5170,6080,1.8,90,110,200,11.60,19.80,,,
53-1000,Supervisors of Transportation and Material Moving Workers,,160,180,1.3,0,0,10,,,,,
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2,50,50,1.1,0,0,0,14.00,23.80,High school diploma or equivalent,Less than 5 years,None
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,4,110,120,1.5,0,0,10,24.20,36.70,High school diploma or equivalent,Less than 5 years,None
53-3000,Motor Vehicle Operators,,3290,3930,2,60,50,120,,,,,
53-3022,"Bus Drivers, School or Special Client",1,260,280,0.8,0,10,10,11.60,14.10,High school diploma or equivalent,None,Short-term on-the-job training
53-3032,Heavy and Tractor-Trailer Truck Drivers,5,2350,2860,2.2,50,40,90,16.80,22.20,Postsecondary non-degree award,None,Short-term on-the-job training
53-3033,Light Truck or Delivery Services Drivers,1,440,500,1.4,10,10,10,8.10,10.30,High school diploma or equivalent,None,Short-term on-the-job training
53-3041,Taxi Drivers and Chauffeurs,1,100,120,2.8,0,0,0,,,Less than high school,None,Short-term on-the-job training
53-4000,Rail Transportation Workers,,70,70,0.1,0,0,0,,,,,
53-6000,Other Transportation Workers,,70,90,2.7,0,0,0,,,,,
53-6031,Automotive and Watercraft Service Attendants,,40,60,4,0,0,0,8.40,10.40,Less than high school,None,Short-term on-the-job training
53-7000,Material Moving Workers,,1550,1760,1.4,20,40,70,,,,,
53-7011,Conveyor Operators and Tenders,,40,40,0.5,0,0,0,,,Less than high school,None,Short-term on-the-job training
53-7032,Excavating and Loading Machine and Dragline Operators,2,70,80,0.4,0,0,0,16.80,21.90,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
53-7033,"Loading Machine Operators, Underground Mining",2,50,50,-0.8,0,0,0,21.90,25.50,Less than high school,None,Short-term on-the-job training
53-7061,Cleaners of Vehicles and Equipment,1,120,150,2.2,0,0,10,8.10,9.50,Less than high school,None,Short-term on-the-job training
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3,650,750,1.5,10,20,30,9.10,13.40,Less than high school,None,Short-term on-the-job training
53-7064,"Packers and Packagers, Hand",0,60,60,0.2,0,0,0,8.20,8.70,Less than high school,None,Short-term on-the-job training
53-7071,Gas Compressor and Gas Pumping Station Operators,,40,40,1.9,0,0,0,,,Less than high school,None,Moderate-term on-the-job training
53-7073,Wellhead Pumpers,5,270,350,2.9,10,10,20,17.70,22.90,Less than high school,Less than 5 years,Moderate-term on-the-job training
53-7081,Refuse and Recyclable Material Collectors,0,90,100,1,0,0,0,,,Less than high school,None,Short-term on-the-job training
53-7111,Mine Shuttle Car Operators,2,70,60,-1,0,0,0,20.80,24.40,Less than high school,None,Short-term on-the-job training
